stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000003302	9606.ENSP00000371475	USP28	TP53BP1	9606	0.998	0	0	0	0.122	0.786	0	0.993
9606.ENSP00000003302	9606.ENSP00000441543	USP28	UBC	9606	0.991	0	0	0	0.055	0.99	0	0.177
9606.ENSP00000003302	9606.ENSP00000478887	USP28	MYC	9606	0.966	0	0	0	0	0.791	0.7	0.507
9606.ENSP00000003302	9606.ENSP00000474725	USP28	FBXW7	9606	0.966	0	0	0	0.067	0.31	0	0.952
9606.ENSP00000003302	9606.ENSP00000388107	USP28	UBA52	9606	0.951	0	0	0	0.047	0.947	0	0.104
9606.ENSP00000003302	9606.ENSP00000272317	USP28	RPS27A	9606	0.932	0	0	0	0.062	0.926	0	0.1
9606.ENSP00000003302	9606.ENSP00000478771	USP28	UBB	9606	0.93	0	0	0	0.055	0.926	0	0.084
9606.ENSP00000003302	9606.ENSP00000312995	USP28	CLSPN	9606	0.9	0	0	0	0.042	0.292	0.7	0.57
9606.ENSP00000003302	9606.ENSP00000372023	USP28	CHEK2	9606	0.852	0	0	0	0.06	0	0	0.85
9606.ENSP00000003302	9606.ENSP00000379721	USP28	USP8	9606	0.844	0	0	0	0.128	0.337	0	0.751
9606.ENSP00000003302	9606.ENSP00000229268	USP28	USP5	9606	0.816	0	0	0	0.153	0.483	0	0.612
9606.ENSP00000003302	9606.ENSP00000269305	USP28	TP53	9606	0.806	0	0	0	0	0.521	0	0.612
9606.ENSP00000003302	9606.ENSP00000260187	USP28	USP2	9606	0.772	0	0	0	0.106	0.103	0	0.738
9606.ENSP00000003302	9606.ENSP00000261601	USP28	USP14	9606	0.766	0	0	0	0.083	0.311	0	0.66
9606.ENSP00000003302	9606.ENSP00000263966	USP28	USP13	9606	0.76	0	0	0	0.145	0.301	0	0.63
9606.ENSP00000003302	9606.ENSP00000444357	USP28	OTUB1	9606	0.726	0	0	0	0.049	0.292	0	0.625
9606.ENSP00000003302	9606.ENSP00000265560	USP28	USP4	9606	0.718	0	0	0	0.073	0.315	0	0.591
9606.ENSP00000003302	9606.ENSP00000313811	USP28	USP20	9606	0.71	0	0	0	0.047	0.315	0	0.592
9606.ENSP00000003302	9606.ENSP00000383042	USP28	KDM1A	9606	0.708	0	0	0	0.063	0.51	0	0.416
9606.ENSP00000003302	9606.ENSP00000280377	USP28	USP15	9606	0.704	0	0	0	0.078	0.315	0	0.569
9606.ENSP00000013807	9606.ENSP00000310520	ERCC1	ERCC4	9606	0.999	0	0	0	0.109	0.999	0.9	0.999
9606.ENSP00000013807	9606.ENSP00000364270	ERCC1	XPA	9606	0.999	0	0	0	0	0.931	0.54	0.999
9606.ENSP00000013807	9606.ENSP00000294008	ERCC1	SLX4	9606	0.999	0	0	0	0.086	0.899	0.5	0.997
9606.ENSP00000013807	9606.ENSP00000350708	ERCC1	RAD23B	9606	0.998	0	0	0	0	0	0.9	0.983
9606.ENSP00000013807	9606.ENSP00000307853	ERCC1	MUS81	9606	0.998	0	0	0	0.2	0.856	0.5	0.973
9606.ENSP00000013807	9606.ENSP00000498881	ERCC1	ERCC5	9606	0.997	0	0	0	0.062	0.271	0.9	0.973
9606.ENSP00000013807	9606.ENSP00000375809	ERCC1	ERCC2	9606	0.996	0	0	0	0.095	0	0.5	0.993
9606.ENSP00000013807	9606.ENSP00000285021	ERCC1	XPC	9606	0.994	0	0	0	0.049	0	0.9	0.944
9606.ENSP00000013807	9606.ENSP00000285398	ERCC1	ERCC3	9606	0.994	0	0	0	0.074	0	0.54	0.988
9606.ENSP00000013807	9606.ENSP00000251303	ERCC1	SLX1A	9606	0.994	0	0	0	0.107	0.499	0.5	0.979
9606.ENSP00000013807	9606.ENSP00000233146	ERCC1	MSH2	9606	0.992	0	0	0	0	0.607	0.9	0.816
9606.ENSP00000013807	9606.ENSP00000375978	ERCC1	XRCC5	9606	0.982	0	0	0	0.049	0	0.9	0.831
9606.ENSP00000013807	9606.ENSP00000265038	ERCC1	ERCC8	9606	0.977	0	0	0	0.049	0	0.9	0.785
9606.ENSP00000013807	9606.ENSP00000278616	ERCC1	ATM	9606	0.975	0	0	0	0	0	0.9	0.769
9606.ENSP00000013807	9606.ENSP00000351284	ERCC1	RAD52	9606	0.974	0	0	0	0	0.396	0.4	0.935
9606.ENSP00000013807	9606.ENSP00000234420	ERCC1	MSH6	9606	0.974	0	0	0	0.049	0.181	0.9	0.708
9606.ENSP00000013807	9606.ENSP00000352257	ERCC1	XRCC6	9606	0.972	0	0	0	0.06	0.088	0.9	0.72
9606.ENSP00000013807	9606.ENSP00000359300	ERCC1	CETN2	9606	0.971	0	0	0	0.067	0	0.9	0.721
9606.ENSP00000013807	9606.ENSP00000262887	ERCC1	XRCC1	9606	0.967	0	0	0	0.128	0	0.36	0.946
9606.ENSP00000013807	9606.ENSP00000484288	ERCC1	LIG4	9606	0.966	0	0	0	0	0	0.9	0.679
9606.ENSP00000013807	9606.ENSP00000421491	ERCC1	XRCC4	9606	0.962	0	0	0	0	0	0.9	0.635
9606.ENSP00000013807	9606.ENSP00000313420	ERCC1	PRKDC	9606	0.958	0	0	0	0.049	0	0.9	0.594
9606.ENSP00000013807	9606.ENSP00000491742	ERCC1	BIVM-ERCC5	9606	0.955	0	0	0	0.055	0.271	0	0.94
9606.ENSP00000013807	9606.ENSP00000472445	ERCC1	POLD1	9606	0.953	0	0	0	0.056	0.092	0.9	0.525
9606.ENSP00000013807	9606.ENSP00000287647	ERCC1	FANCD2	9606	0.951	0	0	0	0	0	0.54	0.899
9606.ENSP00000013807	9606.ENSP00000265081	ERCC1	MSH3	9606	0.95	0	0	0	0	0.181	0.72	0.799
9606.ENSP00000013807	9606.ENSP00000305480	ERCC1	FEN1	9606	0.946	0	0	0	0.055	0.138	0	0.939
9606.ENSP00000013807	9606.ENSP00000367527	ERCC1	DCLRE1C	9606	0.943	0	0	0	0	0	0.9	0.454
9606.ENSP00000013807	9606.ENSP00000349313	ERCC1	NHEJ1	9606	0.943	0	0	0	0.044	0	0.9	0.456
9606.ENSP00000013807	9606.ENSP00000398824	ERCC1	PHF21A	9606	0.938	0	0	0	0	0	0.9	0.407
9606.ENSP00000013807	9606.ENSP00000267430	ERCC1	FANCM	9606	0.933	0	0	0	0.109	0.569	0.5	0.692
9606.ENSP00000013807	9606.ENSP00000376952	ERCC1	EME1	9606	0.931	0	0	0	0	0	0.5	0.869
9606.ENSP00000013807	9606.ENSP00000418960	ERCC1	BRCA1	9606	0.93	0	0	0	0.055	0.439	0.54	0.747
9606.ENSP00000013807	9606.ENSP00000360682	ERCC1	PAXX	9606	0.926	0	0	0	0.106	0	0.9	0.247
9606.ENSP00000013807	9606.ENSP00000348089	ERCC1	ERCC6	9606	0.926	0	0	0	0	0	0	0.926
9606.ENSP00000013807	9606.ENSP00000300145	ERCC1	ATP23	9606	0.912	0	0	0	0.124	0	0.9	0.083
9606.ENSP00000013807	9606.ENSP00000493712	ERCC1	RAD51	9606	0.908	0	0	0	0	0	0.4	0.853
9606.ENSP00000013807	9606.ENSP00000383042	ERCC1	KDM1A	9606	0.907	0	0	0	0.045	0	0.9	0.108
9606.ENSP00000013807	9606.ENSP00000310842	ERCC1	FANCI	9606	0.907	0	0	0	0	0	0.54	0.808
9606.ENSP00000013807	9606.ENSP00000262241	ERCC1	RCOR1	9606	0.901	0	0	0	0.059	0	0.9	0
9606.ENSP00000013807	9606.ENSP00000382218	ERCC1	ZSWIM7	9606	0.9	0	0	0	0.042	0	0.9	0
9606.ENSP00000013807	9606.ENSP00000310008	ERCC1	SWSAP1	9606	0.9	0	0	0	0.049	0	0.9	0
9606.ENSP00000013807	9606.ENSP00000254719	ERCC1	RPA1	9606	0.898	0	0	0	0.092	0.362	0.5	0.69
9606.ENSP00000013807	9606.ENSP00000265963	ERCC1	GTF2H1	9606	0.894	0	0	0	0.087	0.292	0.5	0.711
9606.ENSP00000013807	9606.ENSP00000301764	ERCC1	DDB1	9606	0.893	0	0	0	0.049	0.079	0.5	0.785
9606.ENSP00000013807	9606.ENSP00000263274	ERCC1	LIG1	9606	0.891	0	0	0	0.057	0	0	0.889
9606.ENSP00000013807	9606.ENSP00000289081	ERCC1	FANCC	9606	0.886	0	0	0	0	0	0.5	0.782
9606.ENSP00000013807	9606.ENSP00000369497	ERCC1	BRCA2	9606	0.877	0	0	0	0	0	0.54	0.743
9606.ENSP00000013807	9606.ENSP00000231790	ERCC1	MLH1	9606	0.873	0	0	0	0.049	0.071	0.54	0.724
9606.ENSP00000013807	9606.ENSP00000355759	ERCC1	PARP1	9606	0.869	0	0	0	0.049	0	0.5	0.746
9606.ENSP00000013807	9606.ENSP00000367910	ERCC1	FANCG	9606	0.866	0	0	0	0.049	0.292	0.5	0.649
9606.ENSP00000013807	9606.ENSP00000274400	ERCC1	GTF2H2	9606	0.864	0	0	0	0.105	0	0.5	0.721
9606.ENSP00000013807	9606.ENSP00000451974	ERCC1	XRCC3	9606	0.86	0	0	0	0	0	0	0.86
9606.ENSP00000013807	9606.ENSP00000256996	ERCC1	DDB2	9606	0.859	0	0	0	0.107	0	0.5	0.71
9606.ENSP00000013807	9606.ENSP00000385021	ERCC1	FANCL	9606	0.858	0	0	0	0	0	0.5	0.729
9606.ENSP00000013807	9606.ENSP00000298139	ERCC1	WRN	9606	0.855	0	0	0	0	0	0.4	0.768
9606.ENSP00000013807	9606.ENSP00000355506	ERCC1	EXO1	9606	0.848	0	0	0	0.086	0.138	0.4	0.717
9606.ENSP00000013807	9606.ENSP00000335557	ERCC1	SLX4IP	9606	0.842	0	0	0	0	0.592	0	0.629
9606.ENSP00000013807	9606.ENSP00000373952	ERCC1	FANCA	9606	0.842	0	0	0	0.068	0	0.5	0.689
9606.ENSP00000013807	9606.ENSP00000265849	ERCC1	PMS2	9606	0.838	0	0	0	0	0.088	0.54	0.646
9606.ENSP00000013807	9606.ENSP00000371475	ERCC1	TP53BP1	9606	0.835	0	0	0	0.042	0.33	0.36	0.647
9606.ENSP00000013807	9606.ENSP00000476100	ERCC1	GTF2H5	9606	0.833	0	0	0	0.054	0.067	0.5	0.667
9606.ENSP00000013807	9606.ENSP00000465099	ERCC1	CD3EAP	9606	0.827	0	0	0	0.043	0	0	0.827
9606.ENSP00000013807	9606.ENSP00000466121	ERCC1	FAAP24	9606	0.826	0	0	0	0.049	0	0.5	0.664
9606.ENSP00000013807	9606.ENSP00000363017	ERCC1	RPA2	9606	0.817	0	0	0	0.081	0.322	0.5	0.483
9606.ENSP00000013807	9606.ENSP00000355185	ERCC1	DCLRE1A	9606	0.812	0	0	0	0	0	0.5	0.64
9606.ENSP00000013807	9606.ENSP00000406490	ERCC1	PMS1	9606	0.809	0	0	0	0.049	0.073	0.54	0.585
9606.ENSP00000013807	9606.ENSP00000330875	ERCC1	FANCF	9606	0.803	0	0	0	0.049	0	0.5	0.62
9606.ENSP00000013807	9606.ENSP00000256443	ERCC1	CDK7	9606	0.789	0	0	0	0.042	0.456	0	0.629
9606.ENSP00000013807	9606.ENSP00000445162	ERCC1	GTF2H3	9606	0.789	0	0	0	0.049	0	0.5	0.592
9606.ENSP00000013807	9606.ENSP00000348020	ERCC1	MLH3	9606	0.784	0	0	0	0	0.071	0.54	0.536
9606.ENSP00000013807	9606.ENSP00000498042	ERCC1	DCLRE1B	9606	0.784	0	0	0	0	0	0.5	0.587
9606.ENSP00000013807	9606.ENSP00000223129	ERCC1	RPA3	9606	0.783	0	0	0	0.047	0.322	0.5	0.409
9606.ENSP00000013807	9606.ENSP00000300738	ERCC1	RRM1	9606	0.782	0	0	0	0.081	0	0	0.773
9606.ENSP00000013807	9606.ENSP00000306561	ERCC1	OGG1	9606	0.781	0	0	0	0.067	0	0	0.775
9606.ENSP00000013807	9606.ENSP00000333376	ERCC1	USP45	9606	0.78	0	0	0	0	0.481	0.4	0.352
9606.ENSP00000013807	9606.ENSP00000457703	ERCC1	UBL7	9606	0.779	0	0	0	0.133	0.735	0	0.116
9606.ENSP00000013807	9606.ENSP00000354497	ERCC1	FAN1	9606	0.778	0	0	0	0	0	0.5	0.575
9606.ENSP00000013807	9606.ENSP00000467024	ERCC1	RAD23A	9606	0.774	0	0	0	0.068	0	0	0.767
9606.ENSP00000013807	9606.ENSP00000216714	ERCC1	APEX1	9606	0.774	0	0	0	0.099	0.189	0	0.715
9606.ENSP00000013807	9606.ENSP00000261584	ERCC1	PALB2	9606	0.757	0	0	0	0	0	0.54	0.494
9606.ENSP00000013807	9606.ENSP00000351185	ERCC1	DNA2	9606	0.752	0	0	0	0	0	0.4	0.604
9606.ENSP00000013807	9606.ENSP00000325863	ERCC1	MRE11	9606	0.752	0	0	0	0	0.069	0.4	0.592
9606.ENSP00000013807	9606.ENSP00000343741	ERCC1	ATR	9606	0.739	0	0	0	0	0.088	0.4	0.561
9606.ENSP00000013807	9606.ENSP00000372023	ERCC1	CHEK2	9606	0.739	0	0	0	0.049	0.065	0	0.73
9606.ENSP00000013807	9606.ENSP00000260810	ERCC1	TOPBP1	9606	0.737	0	0	0	0	0.3	0.4	0.425
9606.ENSP00000013807	9606.ENSP00000426191	ERCC1	RAD17	9606	0.731	0	0	0	0.093	0	0.4	0.547
9606.ENSP00000013807	9606.ENSP00000259895	ERCC1	GTF2H4	9606	0.728	0	0	0	0.047	0	0.5	0.475
9606.ENSP00000013807	9606.ENSP00000382628	ERCC1	RBBP8	9606	0.722	0	0	0	0	0	0.4	0.556
9606.ENSP00000013807	9606.ENSP00000250416	ERCC1	PARP2	9606	0.721	0	0	0	0	0	0.5	0.465
9606.ENSP00000013807	9606.ENSP00000315644	ERCC1	TYMS	9606	0.72	0	0	0	0	0	0	0.72
9606.ENSP00000013807	9606.ENSP00000259008	ERCC1	BRIP1	9606	0.716	0	0	0	0.049	0	0.4	0.542
9606.ENSP00000013807	9606.ENSP00000498215	ERCC1	FANCB	9606	0.715	0	0	0	0	0	0.5	0.454
9606.ENSP00000013807	9606.ENSP00000343526	ERCC1	USP1	9606	0.714	0	0	0	0.054	0	0.4	0.537
9606.ENSP00000013807	9606.ENSP00000351697	ERCC1	REV3L	9606	0.712	0	0	0	0	0.11	0	0.689
9606.ENSP00000013807	9606.ENSP00000229769	ERCC1	FANCE	9606	0.71	0	0	0	0	0	0.5	0.445
9606.ENSP00000013807	9606.ENSP00000328940	ERCC1	SLX1B	9606	0.71	0	0	0	0.109	0.436	0	0.47
9606.ENSP00000013807	9606.ENSP00000494957	ERCC1	UBE2T	9606	0.702	0	0	0	0	0	0.5	0.43
9606.ENSP00000013807	9606.ENSP00000347232	ERCC1	BLM	9606	0.701	0	0	0	0	0	0.4	0.522
9606.ENSP00000013807	9606.ENSP00000265433	ERCC1	NBN	9606	0.7	0	0	0	0	0	0.4	0.522
9606.ENSP00000020945	9606.ENSP00000383042	SNAI2	KDM1A	9606	0.974	0	0	0	0	0.292	0.5	0.932
9606.ENSP00000020945	9606.ENSP00000242261	SNAI2	TWIST1	9606	0.952	0	0	0	0.291	0	0	0.935
9606.ENSP00000020945	9606.ENSP00000261769	SNAI2	CDH1	9606	0.929	0	0	0	0	0	0	0.929
9606.ENSP00000020945	9606.ENSP00000362649	SNAI2	HDAC1	9606	0.924	0	0	0	0	0.625	0.5	0.628
9606.ENSP00000020945	9606.ENSP00000269305	SNAI2	TP53	9606	0.915	0	0	0	0	0.292	0.5	0.78
9606.ENSP00000020945	9606.ENSP00000245479	SNAI2	SOX9	9606	0.91	0	0	0	0.099	0.053	0	0.903
9606.ENSP00000020945	9606.ENSP00000269141	SNAI2	CDH2	9606	0.891	0	0	0	0.074	0	0	0.887
9606.ENSP00000020945	9606.ENSP00000446007	SNAI2	VIM	9606	0.885	0	0	0	0.079	0	0	0.881
9606.ENSP00000020945	9606.ENSP00000378402	SNAI2	SIN3A	9606	0.882	0	0	0	0	0.292	0	0.84
9606.ENSP00000020945	9606.ENSP00000244050	SNAI2	SNAI1	9606	0.864	0	0	0.069	0.044	0	0.8	0.328
9606.ENSP00000020945	9606.ENSP00000258149	SNAI2	MDM2	9606	0.853	0	0	0	0	0.625	0	0.626
9606.ENSP00000020945	9606.ENSP00000341551	SNAI2	SMAD4	9606	0.849	0	0	0	0.055	0.091	0	0.839
9606.ENSP00000020945	9606.ENSP00000380093	SNAI2	SOX10	9606	0.847	0	0	0	0.06	0.053	0	0.842
9606.ENSP00000020945	9606.ENSP00000320147	SNAI2	EZH2	9606	0.843	0	0	0	0.059	0	0.5	0.694
9606.ENSP00000020945	9606.ENSP00000430432	SNAI2	HDAC2	9606	0.828	0	0	0	0	0.51	0.5	0.356
9606.ENSP00000020945	9606.ENSP00000482581	SNAI2	TWIST2	9606	0.826	0	0	0	0.207	0	0	0.789
9606.ENSP00000020945	9606.ENSP00000324806	SNAI2	GSK3B	9606	0.816	0	0	0	0.067	0.512	0	0.627
9606.ENSP00000020945	9606.ENSP00000262160	SNAI2	SMAD2	9606	0.812	0	0	0	0.055	0.087	0	0.799
9606.ENSP00000020945	9606.ENSP00000495360	SNAI2	CTNNB1	9606	0.801	0	0	0	0.044	0	0	0.8
9606.ENSP00000020945	9606.ENSP00000346839	SNAI2	FN1	9606	0.8	0	0	0	0.19	0	0	0.764
9606.ENSP00000020945	9606.ENSP00000360157	SNAI2	FOXD3	9606	0.798	0	0	0	0.06	0	0	0.793
9606.ENSP00000020945	9606.ENSP00000365851	SNAI2	BMI1	9606	0.791	0	0	0	0.044	0	0.5	0.598
9606.ENSP00000020945	9606.ENSP00000375921	SNAI2	PAX3	9606	0.784	0	0	0	0.059	0	0	0.78
9606.ENSP00000020945	9606.ENSP00000478887	SNAI2	MYC	9606	0.782	0	0	0	0.056	0	0	0.779
9606.ENSP00000020945	9606.ENSP00000290921	SNAI2	CTBP1	9606	0.777	0	0	0	0	0.399	0	0.644
9606.ENSP00000020945	9606.ENSP00000360266	SNAI2	JUN	9606	0.775	0	0	0	0.095	0	0.5	0.544
9606.ENSP00000020945	9606.ENSP00000335615	SNAI2	BTBD7	9606	0.773	0	0	0	0	0	0	0.773
9606.ENSP00000020945	9606.ENSP00000316578	SNAI2	SUZ12	9606	0.77	0	0	0	0	0	0.5	0.559
9606.ENSP00000020945	9606.ENSP00000288135	SNAI2	KIT	9606	0.744	0	0	0	0.061	0	0	0.739
9606.ENSP00000020945	9606.ENSP00000451828	SNAI2	AKT1	9606	0.739	0	0	0	0.055	0	0	0.735
9606.ENSP00000020945	9606.ENSP00000391803	SNAI2	MITF	9606	0.736	0	0	0	0.076	0	0	0.726
9606.ENSP00000020945	9606.ENSP00000364524	SNAI2	PAX7	9606	0.733	0	0	0	0	0	0	0.733
9606.ENSP00000020945	9606.ENSP00000265171	SNAI2	EGF	9606	0.732	0	0	0	0	0	0	0.732
9606.ENSP00000020945	9606.ENSP00000478927	SNAI2	YAP1	9606	0.732	0	0	0	0.162	0	0	0.693
9606.ENSP00000020945	9606.ENSP00000497759	SNAI2	FOXC2	9606	0.726	0	0	0	0.138	0	0	0.695
9606.ENSP00000020945	9606.ENSP00000361405	SNAI2	MMP9	9606	0.725	0	0	0	0.086	0	0	0.712
9606.ENSP00000020945	9606.ENSP00000323588	SNAI2	SOX2	9606	0.721	0	0	0	0	0.059	0	0.716
9606.ENSP00000020945	9606.ENSP00000219070	SNAI2	MMP2	9606	0.719	0	0	0	0.205	0	0	0.661
9606.ENSP00000020945	9606.ENSP00000265165	SNAI2	LEF1	9606	0.716	0	0	0	0.047	0	0	0.714
9606.ENSP00000020945	9606.ENSP00000494686	SNAI2	SIX1	9606	0.714	0	0	0	0.106	0.059	0	0.688
9606.ENSP00000020945	9606.ENSP00000380070	SNAI2	GAPDH	9606	0.712	0	0	0	0	0	0	0.712
9606.ENSP00000020945	9606.ENSP00000221930	SNAI2	TGFB1	9606	0.711	0	0	0	0.044	0	0	0.71
9606.ENSP00000020945	9606.ENSP00000437621	SNAI2	HMGA2	9606	0.707	0	0	0	0.066	0	0	0.7
9606.ENSP00000159111	9606.ENSP00000382204	KDM4B	JMJD1C	9606	0.952	0	0	0	0.049	0	0	0.952
9606.ENSP00000159111	9606.ENSP00000405330	KDM4B	ESR1	9606	0.922	0	0	0	0.049	0.522	0.5	0.698
9606.ENSP00000159111	9606.ENSP00000386660	KDM4B	KDM3A	9606	0.837	0	0	0	0.049	0	0	0.836
9606.ENSP00000159111	9606.ENSP00000361473	KDM4B	KDM4A	9606	0.821	0	0	0.062	0.06	0.622	0.5	0.096
9606.ENSP00000159111	9606.ENSP00000244537	KDM4B	H4C6	9606	0.798	0	0	0	0	0.453	0.5	0.321
9606.ENSP00000159111	9606.ENSP00000343896	KDM4B	SMARCA4	9606	0.783	0	0	0	0.082	0.095	0	0.76
9606.ENSP00000159111	9606.ENSP00000366271	KDM4B	KDM2B	9606	0.779	0	0	0	0.06	0.066	0	0.768
9606.ENSP00000159111	9606.ENSP00000254810	KDM4B	H3-3B	9606	0.773	0	0	0	0.043	0.095	0.5	0.537
9606.ENSP00000159111	9606.ENSP00000355657	KDM4B	H3-4	9606	0.771	0	0	0	0.048	0.095	0.5	0.531
9606.ENSP00000159111	9606.ENSP00000352252	KDM4B	H3C12	9606	0.77	0	0	0	0	0.095	0.5	0.533
9606.ENSP00000159111	9606.ENSP00000333277	KDM4B	H3C13	9606	0.768	0	0	0	0	0.095	0.5	0.53
9606.ENSP00000159111	9606.ENSP00000254846	KDM4B	KDM6B	9606	0.758	0	0	0	0.101	0.07	0	0.733
9606.ENSP00000159111	9606.ENSP00000437955	KDM4B	HIF1A	9606	0.744	0	0	0	0	0	0	0.744
9606.ENSP00000159111	9606.ENSP00000321744	KDM4B	H2BC4	9606	0.74	0	0	0	0.044	0.126	0.5	0.452
9606.ENSP00000159111	9606.ENSP00000326563	KDM4B	KDM3B	9606	0.734	0	0	0	0.109	0	0	0.714
9606.ENSP00000159111	9606.ENSP00000274764	KDM4B	H2BC1	9606	0.732	0	0	0	0	0.094	0.5	0.457
9606.ENSP00000159111	9606.ENSP00000479284	KDM4B	H2BU1	9606	0.73	0	0	0	0	0.094	0.5	0.452
9606.ENSP00000159111	9606.ENSP00000289316	KDM4B	H2BC5	9606	0.73	0	0	0	0.044	0.094	0.5	0.451
9606.ENSP00000159111	9606.ENSP00000479169	KDM4B	H2BC9	9606	0.728	0	0	0	0.043	0.094	0.5	0.447
9606.ENSP00000159111	9606.ENSP00000366618	KDM4B	H2BC13	9606	0.728	0	0	0	0	0.094	0.5	0.448
9606.ENSP00000159111	9606.ENSP00000481622	KDM4B	H2BS1	9606	0.728	0	0	0	0	0.094	0.5	0.448
9606.ENSP00000159111	9606.ENSP00000349430	KDM4B	H2BC12	9606	0.728	0	0	0	0	0.094	0.5	0.449
9606.ENSP00000159111	9606.ENSP00000477907	KDM4B	H2BC14	9606	0.727	0	0	0	0	0.094	0.5	0.447
9606.ENSP00000159111	9606.ENSP00000482674	KDM4B	H2BC3	9606	0.727	0	0	0	0	0.094	0.5	0.446
9606.ENSP00000159111	9606.ENSP00000483903	KDM4B	H2BC15	9606	0.727	0	0	0	0	0.094	0.5	0.446
9606.ENSP00000159111	9606.ENSP00000477527	KDM4B	H2BC17	9606	0.727	0	0	0	0	0.094	0.5	0.447
9606.ENSP00000159111	9606.ENSP00000476136	KDM4B	H2BC11	9606	0.727	0	0	0	0	0.094	0.5	0.446
9606.ENSP00000159111	9606.ENSP00000383042	KDM4B	KDM1A	9606	0.725	0	0	0	0.105	0.091	0	0.689
9606.ENSP00000212015	9606.ENSP00000339527	SIRT1	FOXO3	9606	0.999	0	0	0	0.06	0.774	0.9	0.964
9606.ENSP00000212015	9606.ENSP00000426983	SIRT1	CLOCK	9606	0.999	0	0	0	0.049	0.335	0.75	0.994
9606.ENSP00000212015	9606.ENSP00000264867	SIRT1	PPARGC1A	9606	0.999	0	0	0	0.055	0.499	0.9	0.998
9606.ENSP00000212015	9606.ENSP00000337976	SIRT1	SUV39H1	9606	0.999	0	0	0	0.042	0.538	0.9	0.989
9606.ENSP00000212015	9606.ENSP00000310670	SIRT1	CCAR2	9606	0.999	0	0	0	0.049	0.83	0.9	0.977
9606.ENSP00000212015	9606.ENSP00000368880	SIRT1	FOXO1	9606	0.999	0	0	0	0.109	0.816	0.9	0.984
9606.ENSP00000212015	9606.ENSP00000269305	SIRT1	TP53	9606	0.999	0	0	0	0	0.886	0.9	0.99
9606.ENSP00000212015	9606.ENSP00000287820	SIRT1	PPARG	9606	0.998	0	0	0	0	0.345	0.9	0.981
9606.ENSP00000212015	9606.ENSP00000384517	SIRT1	ARNTL	9606	0.997	0	0	0	0.049	0.345	0.75	0.987
9606.ENSP00000212015	9606.ENSP00000268712	SIRT1	NCOR1	9606	0.996	0	0	0	0.091	0.635	0	0.989
9606.ENSP00000212015	9606.ENSP00000254605	SIRT1	RRP8	9606	0.996	0	0	0	0	0.292	0.9	0.96
9606.ENSP00000212015	9606.ENSP00000384273	SIRT1	RELA	9606	0.995	0	0	0	0.049	0.646	0.9	0.89
9606.ENSP00000212015	9606.ENSP00000222553	SIRT1	NAMPT	9606	0.993	0	0	0	0.06	0	0.9	0.937
9606.ENSP00000212015	9606.ENSP00000358072	SIRT1	ATG5	9606	0.993	0	0	0	0.082	0.301	0	0.99
9606.ENSP00000212015	9606.ENSP00000362649	SIRT1	HDAC1	9606	0.993	0	0	0	0	0.528	0	0.987
9606.ENSP00000212015	9606.ENSP00000346437	SIRT1	ATG7	9606	0.993	0.055	0	0	0	0.516	0	0.987
9606.ENSP00000212015	9606.ENSP00000354916	SIRT1	CDC14A	9606	0.992	0	0	0	0.091	0.318	0	0.989
9606.ENSP00000212015	9606.ENSP00000411256	SIRT1	GABARAPL1	9606	0.989	0	0	0	0.06	0.328	0	0.985
9606.ENSP00000212015	9606.ENSP00000366410	SIRT1	NMNAT1	9606	0.985	0.042	0	0	0	0.292	0.9	0.814
9606.ENSP00000212015	9606.ENSP00000226574	SIRT1	NFKB1	9606	0.983	0	0	0	0.049	0.33	0.9	0.768
9606.ENSP00000212015	9606.ENSP00000037243	SIRT1	GABARAPL2	9606	0.974	0	0	0	0.048	0.091	0	0.973
9606.ENSP00000212015	9606.ENSP00000263253	SIRT1	EP300	9606	0.972	0	0	0	0.138	0.698	0	0.902
9606.ENSP00000212015	9606.ENSP00000333948	SIRT1	RPS19BP1	9606	0.969	0	0	0	0	0.776	0.4	0.792
9606.ENSP00000212015	9606.ENSP00000263754	SIRT1	KAT2B	9606	0.96	0	0	0	0.075	0.424	0	0.932
9606.ENSP00000212015	9606.ENSP00000249396	SIRT1	SIRT2	9606	0.956	0	0	0.124	0	0.335	0.9	0.346
9606.ENSP00000212015	9606.ENSP00000287713	SIRT1	NMNAT2	9606	0.954	0.042	0	0	0	0	0.9	0.567
9606.ENSP00000212015	9606.ENSP00000326424	SIRT1	NADSYN1	9606	0.946	0.094	0	0	0	0	0.912	0.379
9606.ENSP00000212015	9606.ENSP00000226279	SIRT1	CD38	9606	0.943	0	0	0	0	0	0.9	0.46
9606.ENSP00000212015	9606.ENSP00000225916	SIRT1	KAT2A	9606	0.943	0	0	0	0	0.54	0	0.882
9606.ENSP00000212015	9606.ENSP00000293288	SIRT1	BAX	9606	0.942	0	0	0	0.058	0	0.9	0.438
9606.ENSP00000212015	9606.ENSP00000441434	SIRT1	NNMT	9606	0.942	0	0	0	0	0	0.9	0.447
9606.ENSP00000212015	9606.ENSP00000320147	SIRT1	EZH2	9606	0.942	0	0	0	0.049	0.646	0.36	0.766
9606.ENSP00000212015	9606.ENSP00000316578	SIRT1	SUZ12	9606	0.94	0	0	0	0.128	0.51	0.36	0.807
