gene	global_rank_original	global_rank_anonymized	ranks_match
A1BG	6272	6272	True
A1BG-AS1	12346	12346	True
A2M	4660	4660	True
A2M-AS1	13767	13767	True
A2ML1	13637	13637	True
A4GALT	370	370	True
AAAS	2236	2236	True
AACS	5380	5380	True
AADAC	14577	14577	True
AADAT	9167	9167	True
AAED1	11326	11326	True
AAGAB	6276	6276	True
AAK1	4959	4959	True
AAMDC	6653	6653	True
AAMP	4369	4369	True
AANAT	13940	13940	True
AAR2	7393	7393	True
AARD	302	302	True
AARS	3123	3123	True
AARS2	9382	9382	True
AARSD1	5133	5133	True
AASDH	10193	10193	True
AASDHPPT	9249	9249	True
AASS	391	391	True
AATF	9594	9594	True
AATK	2992	2992	True
ABAT	931	931	True
ABCA1	13536	13536	True
ABCA10	12369	12369	True
ABCA12	551	551	True
ABCA2	4303	4303	True
ABCA3	1020	1020	True
ABCA4	11751	11751	True
ABCA5	4740	4740	True
ABCA6	12476	12476	True
ABCA7	10396	10396	True
ABCA9	14478	14478	True
ABCB1	12327	12327	True
ABCB10	5993	5993	True
ABCB11	14153	14153	True
ABCB4	14730	14730	True
ABCB6	7116	7116	True
ABCB7	7227	7227	True
ABCB8	3030	3030	True
ABCB9	867	867	True
ABCC1	4846	4846	True
ABCC10	10794	10794	True
ABCC11	787	787	True
ABCC2	3061	3061	True
ABCC3	254	254	True
ABCC4	1644	1644	True
ABCC5	3583	3583	True
ABCC6	904	904	True
ABCC8	350	350	True
ABCC9	13948	13948	True
ABCD1	248	248	True
ABCD3	6748	6748	True
ABCD4	7952	7952	True
ABCE1	10283	10283	True
ABCF1	5984	5984	True
ABCF2	12378	12378	True
ABCF3	8777	8777	True
ABCG1	1643	1643	True
ABCG2	1963	1963	True
ABHD1	1145	1145	True
ABHD10	3816	3816	True
ABHD11	5647	5647	True
ABHD12	4261	4261	True
ABHD12B	13581	13581	True
ABHD13	2375	2375	True
ABHD14A	1813	1813	True
ABHD14A-ACY1	14287	14287	True
ABHD14B	4651	4651	True
ABHD15	4831	4831	True
ABHD16A	10016	10016	True
ABHD17A	3250	3250	True
ABHD17B	2645	2645	True
ABHD17C	2989	2989	True
ABHD2	1278	1278	True
ABHD3	8629	8629	True
ABHD4	1229	1229	True
ABHD5	8572	8572	True
ABHD6	4189	4189	True
ABHD8	6535	6535	True
ABI1	6058	6058	True
ABI2	5580	5580	True
ABI3BP	12922	12922	True
ABL1	5829	5829	True
ABL2	9364	9364	True
ABLIM1	2169	2169	True
ABLIM2	4552	4552	True
ABLIM3	47	47	True
ABR	3763	3763	True
ABRACL	1301	1301	True
ABT1	10569	10569	True
ABTB1	2218	2218	True
ABTB2	7639	7639	True
AC005083.1	13404	13404	True
AC005288.1	14788	14788	True
AC005480.1	13378	13378	True
AC005523.2	14463	14463	True
AC005562.1	13322	13322	True
AC006449.2	13391	13391	True
AC006538.1	14986	14986	True
AC007009.1	11202	11202	True
AC007292.3	14611	14611	True
AC007365.1	13153	13153	True
AC007383.3	11899	11899	True
AC007950.2	14835	14835	True
AC008268.1	13350	13350	True
AC008703.1	13746	13746	True
AC008982.2	13501	13501	True
AC009065.4	14181	14181	True
AC009120.4	13968	13968	True
AC009120.5	15131	15131	True
AC009299.3	14638	14638	True
AC009403.2	15096	15096	True
AC009495.3	13800	13800	True
AC009506.1	11730	11730	True
AC010168.1	14857	14857	True
AC010894.3	13464	13464	True
AC011043.1	14696	14696	True
AC012640.1	14025	14025	True
AC015987.1	14733	14733	True
AC016831.7	14774	14774	True
AC019117.1	13126	13126	True
AC019186.1	13428	13428	True
AC022098.1	13436	13436	True
AC023590.1	14832	14832	True
AC025171.1	13055	13055	True
AC034243.1	12004	12004	True
AC058791.1	15247	15247	True
AC062029.1	12488	12488	True
AC084809.2	13530	13530	True
AC091133.1	14383	14383	True
AC092171.4	15184	15184	True
AC093382.1	14584	14584	True
AC099850.1	11575	11575	True
AC100821.2	14442	14442	True
AC104532.2	14481	14481	True
AC105339.3	14513	14513	True
AC106786.1	13519	13519	True
AC114763.1	13342	13342	True
AC116609.3	13964	13964	True
AC132192.1	14384	14384	True
AC133644.2	14778	14778	True
AC135050.1	14663	14663	True
AC139887.4	11421	11421	True
AC144450.1	11710	11710	True
AC144652.1	12756	12756	True
AC144831.1	13480	13480	True
AC240274.1	13207	13207	True
AC253572.1	13163	13163	True
ACAA1	3877	3877	True
ACAA2	274	274	True
ACACA	10287	10287	True
ACACB	1657	1657	True
ACAD10	10227	10227	True
ACAD11	972	972	True
ACAD8	10852	10852	True
ACAD9	3946	3946	True
ACADM	8156	8156	True
ACADS	3804	3804	True
ACADSB	10111	10111	True
ACADVL	4334	4334	True
ACAP1	4483	4483	True
ACAP2	8545	8545	True
ACAP3	8042	8042	True
ACAT1	1016	1016	True
ACAT2	409	409	True
ACBD3	4725	4725	True
ACBD4	9405	9405	True
ACBD5	1831	1831	True
ACBD6	12993	12993	True
ACBD7	11108	11108	True
ACCS	9089	9089	True
ACD	4553	4553	True
ACE	1876	1876	True
ACER2	3790	3790	True
ACER3	10733	10733	True
ACHE	6405	6405	True
ACIN1	4375	4375	True
ACKR2	14241	14241	True
ACKR3	523	523	True
ACKR4	14004	14004	True
ACLY	6742	6742	True
ACMSD	12798	12798	True
ACO1	3260	3260	True
ACO2	6334	6334	True
ACOT1	13166	13166	True
ACOT11	3211	3211	True
ACOT13	5385	5385	True
ACOT2	236	236	True
ACOT4	131	131	True
ACOT6	11358	11358	True
ACOT7	7425	7425	True
ACOT8	5381	5381	True
ACOT9	4645	4645	True
ACOX1	1420	1420	True
ACOX2	233	233	True
ACOX3	7701	7701	True
ACOXL	11983	11983	True
ACP1	3762	3762	True
ACP2	2549	2549	True
ACP5	13973	13973	True
ACP6	293	293	True
ACPP	7471	7471	True
ACRBP	14041	14041	True
ACRC	14381	14381	True
ACRV1	14523	14523	True
ACSBG1	12159	12159	True
ACSBG2	15143	15143	True
ACSF2	2520	2520	True
ACSF3	10504	10504	True
ACSL1	918	918	True
ACSL3	1039	1039	True
ACSL4	1103	1103	True
ACSL5	13688	13688	True
ACSM1	13576	13576	True
ACSM3	12148	12148	True
ACSM6	13099	13099	True
ACSS1	1027	1027	True
ACSS2	23	23	True
ACSS3	10981	10981	True
ACTA1	13992	13992	True
ACTA2	1727	1727	True
ACTB	10503	10503	True
ACTG1	9692	9692	True
ACTG2	13125	13125	True
ACTL10	942	942	True
ACTL6A	7944	7944	True
ACTL8	11622	11622	True
ACTN1	2884	2884	True
ACTN4	8087	8087	True
ACTR10	4755	4755	True
ACTR1A	4073	4073	True
ACTR1B	4717	4717	True
ACTR2	6346	6346	True
ACTR3	4224	4224	True
ACTR3B	6631	6631	True
ACTR3C	1682	1682	True
ACTR5	9778	9778	True
ACTR6	9498	9498	True
ACTR8	8133	8133	True
ACTRT3	9887	9887	True
ACVR1	337	337	True
ACVR1B	9803	9803	True
ACVR1C	11273	11273	True
ACVR2A	3052	3052	True
ACVR2B	8399	8399	True
ACVR2B-AS1	14830	14830	True
ACY1	4321	4321	True
ACY3	14360	14360	True
ACYP1	7201	7201	True
ACYP2	2400	2400	True
ADA	10994	10994	True
ADAD2	14034	14034	True
ADAL	4038	4038	True
ADAM10	9699	9699	True
ADAM11	11862	11862	True
ADAM12	11764	11764	True
ADAM15	8469	8469	True
ADAM17	1147	1147	True
ADAM19	12335	12335	True
ADAM20	14465	14465	True
ADAM22	8213	8213	True
ADAM28	11491	11491	True
ADAM29	13214	13214	True
ADAM32	11917	11917	True
ADAM8	6913	6913	True
ADAM9	1584	1584	True
ADAMTS1	13593	13593	True
ADAMTS10	156	156	True
ADAMTS12	14727	14727	True
ADAMTS13	11880	11880	True
ADAMTS15	12675	12675	True
ADAMTS17	2825	2825	True
ADAMTS19	11128	11128	True
ADAMTS19-AS1	13031	13031	True
ADAMTS20	13139	13139	True
ADAMTS3	11486	11486	True
ADAMTS4	13854	13854	True
ADAMTS6	12023	12023	True
ADAMTS7	2014	2014	True
ADAMTS8	13573	13573	True
ADAMTS9	2441	2441	True
ADAMTSL1	15195	15195	True
ADAMTSL3	12817	12817	True
ADAMTSL4	7837	7837	True
ADAMTSL5	7821	7821	True
ADAP1	1497	1497	True
ADAP2	4526	4526	True
ADAR	6249	6249	True
ADARB1	10849	10849	True
ADAT1	2458	2458	True
ADAT2	9018	9018	True
ADAT3	7829	7829	True
ADCK1	3605	3605	True
ADCK2	7646	7646	True
ADCK3	14670	14670	True
ADCK4	14998	14998	True
ADCK5	10604	10604	True
ADCY1	2154	2154	True
ADCY10	12263	12263	True
ADCY2	13936	13936	True
ADCY3	5538	5538	True
ADCY4	12195	12195	True
ADCY5	359	359	True
ADCY6	9279	9279	True
ADCY7	4293	4293	True
ADCY9	1002	1002	True
ADD1	8979	8979	True
ADD3	130	130	True
ADGRA2	12174	12174	True
ADGRA3	12284	12284	True
ADGRB1	11286	11286	True
ADGRB2	12336	12336	True
ADGRD1	11272	11272	True
ADGRE2	12600	12600	True
ADGRE5	12631	12631	True
ADGRF1	11254	11254	True
ADGRF3	12781	12781	True
ADGRF4	11304	11304	True
ADGRG1	11595	11595	True
ADGRG2	12613	12613	True
ADGRG5	15090	15090	True
ADGRG6	11439	11439	True
ADGRL1	12138	12138	True
ADGRL2	11535	11535	True
ADGRL3	13044	13044	True
ADGRV1	11259	11259	True
ADH5	6767	6767	True
ADHFE1	6998	6998	True
ADI1	2852	2852	True
ADIPOR1	6832	6832	True
ADIPOR2	8521	8521	True
ADIRF	145	145	True
ADIRF-AS1	13030	13030	True
ADK	780	780	True
ADM	2017	2017	True
ADM2	2194	2194	True
ADM5	9349	9349	True
ADNP	5169	5169	True
ADNP-AS1	12804	12804	True
ADNP2	6257	6257	True
ADO	8652	8652	True
ADORA1	657	657	True
ADORA2A	11690	11690	True
ADORA2A-AS1	13284	13284	True
ADORA2B	2395	2395	True
ADPGK	9369	9369	True
ADPRH	7832	7832	True
ADPRHL1	1688	1688	True
ADPRHL2	10219	10219	True
ADPRM	8014	8014	True
ADRA1B	13103	13103	True
ADRA2A	11357	11357	True
ADRA2C	427	427	True
ADRB1	7595	7595	True
ADRB2	14849	14849	True
ADRBK1	15067	15067	True
ADRBK2	13134	13134	True
ADRM1	11067	11067	True
ADSL	10379	10379	True
ADSS	2401	2401	True
ADSSL1	3872	3872	True
AEBP1	594	594	True
AEBP2	3504	3504	True
AEN	8513	8513	True
AES	12253	12253	True
AF131215.2	13029	13029	True
AFAP1	3171	3171	True
AFAP1L1	14085	14085	True
AFAP1L2	661	661	True
AFF1	3493	3493	True
AFF2	13183	13183	True
AFF3	11334	11334	True
AFF4	5460	5460	True
AFG3L2	8142	8142	True
AFMID	5914	5914	True
AFTPH	3182	3182	True
AGA	8898	8898	True
AGAP1	2872	2872	True
AGAP1-IT1	13039	13039	True
AGAP2	319	319	True
AGAP2-AS1	12596	12596	True
AGAP3	4766	4766	True
AGAP4	8705	8705	True
AGAP5	8367	8367	True
AGAP6	12783	12783	True
AGAP9	11883	11883	True
AGBL2	7349	7349	True
AGBL3	11921	11921	True
AGBL4	11901	11901	True
AGBL5	8146	8146	True
AGER	3167	3167	True
AGFG1	9202	9202	True
AGFG2	4631	4631	True
AGGF1	8205	8205	True
AGK	6594	6594	True
AGL	5099	5099	True
AGMAT	1987	1987	True
AGO1	3592	3592	True
AGO2	10076	10076	True
AGO3	7968	7968	True
AGO4	6814	6814	True
AGPAT1	8286	8286	True
AGPAT2	10228	10228	True
AGPAT3	6924	6924	True
AGPAT4	12069	12069	True
AGPAT5	8478	8478	True
AGPAT6	15237	15237	True
AGPAT9	13246	13246	True
AGPS	11243	11243	True
AGR2	1881	1881	True
AGR3	14958	14958	True
AGRN	2588	2588	True
AGTPBP1	6830	6830	True
AGTR1	14884	14884	True
AGTRAP	7173	7173	True
AGXT	14003	14003	True
AHCTF1	2866	2866	True
AHCY	5954	5954	True
AHCYL1	10691	10691	True
AHCYL2	5428	5428	True
AHDC1	1792	1792	True
AHI1	6366	6366	True
AHNAK	7957	7957	True
AHNAK2	3290	3290	True
AHR	117	117	True
AHRR	287	287	True
AHSA1	8910	8910	True
AHSA2	14878	14878	True
AIDA	3880	3880	True
AIF1L	1895	1895	True
AIFM1	2188	2188	True
AIFM2	8502	8502	True
AIFM3	7286	7286	True
AIG1	5484	5484	True
AIM1	13313	13313	True
AIM1L	13268	13268	True
AIMP1	10216	10216	True
AIMP2	1415	1415	True
AIP	5143	5143	True
AJAP1	11227	11227	True
AJUBA	10589	10589	True
AK1	1276	1276	True
AK2	8265	8265	True
AK3	10384	10384	True
AK4	7619	7619	True
AK5	15003	15003	True
AK6	7609	7609	True
AK7	1715	1715	True
AK8	12048	12048	True
AK9	9348	9348	True
AKAP1	4942	4942	True
AKAP10	6403	6403	True
AKAP11	6225	6225	True
AKAP12	2204	2204	True
AKAP13	2529	2529	True
AKAP17A	3776	3776	True
AKAP2	11375	11375	True
AKAP3	11927	11927	True
AKAP5	1730	1730	True
AKAP6	11789	11789	True
AKAP7	11363	11363	True
AKAP8	9077	9077	True
AKAP8L	7310	7310	True
AKAP9	5432	5432	True
AKIP1	8834	8834	True
AKIRIN1	2913	2913	True
AKIRIN2	8656	8656	True
AKNA	6681	6681	True
AKNAD1	12972	12972	True
AKR1A1	6054	6054	True
AKR1B10	1799	1799	True
AKR1C1	958	958	True
AKR1C2	836	836	True
AKR1C3	2574	2574	True
AKR1E2	2305	2305	True
AKR7A2	3783	3783	True
AKR7A3	13832	13832	True
AKT1	6617	6617	True
AKT1S1	7242	7242	True
AKT2	7063	7063	True
AKT3	9177	9177	True
AKTIP	8007	8007	True
AL009179.1	14447	14447	True
AL022326.1	13481	13481	True
AL023806.1	15134	15134	True
AL132780.1	12896	12896	True
AL135791.1	15076	15076	True
AL354822.1	13269	13269	True
AL355075.1	14131	14131	True
AL358852.1	14291	14291	True
AL365181.2	13247	13247	True
AL450992.2	12731	12731	True
AL513548.1	14811	14811	True
AL590708.1	14576	14576	True
AL592183.1	14667	14667	True
AL627171.1	13705	13705	True
AL662797.1	14713	14713	True
AL845472.1	14801	14801	True
AL928654.1	14940	14940	True
ALAD	1159	1159	True
ALAS1	10610	10610	True
ALB	14637	14637	True
ALCAM	288	288	True
ALDH16A1	1319	1319	True
ALDH18A1	5621	5621	True
ALDH1A1	14492	14492	True
ALDH1A2	12134	12134	True
ALDH1A3	4078	4078	True
ALDH1B1	7629	7629	True
ALDH1L2	11974	11974	True
ALDH2	12451	12451	True
ALDH3A1	13198	13198	True
ALDH3A2	875	875	True
ALDH3B1	1918	1918	True
ALDH3B2	2623	2623	True
ALDH4A1	472	472	True
ALDH5A1	10045	10045	True
ALDH6A1	3382	3382	True
ALDH7A1	10489	10489	True
ALDH8A1	14000	14000	True
ALDH9A1	9183	9183	True
ALDOA	8004	8004	True
ALDOC	1627	1627	True
ALG1	7947	7947	True
ALG10	7008	7008	True
ALG10B	4398	4398	True
ALG11	11072	11072	True
ALG12	7412	7412	True
ALG13	9328	9328	True
ALG14	7373	7373	True
ALG1L	7128	7128	True
ALG1L2	12269	12269	True
ALG2	6733	6733	True
ALG3	9732	9732	True
ALG5	7113	7113	True
ALG6	9507	9507	True
ALG8	3173	3173	True
ALG9	9396	9396	True
ALKBH1	3942	3942	True
ALKBH2	7574	7574	True
ALKBH3	3984	3984	True
ALKBH4	4486	4486	True
ALKBH5	9053	9053	True
ALKBH6	6668	6668	True
ALKBH7	5115	5115	True
ALKBH8	5795	5795	True
ALMS1	7654	7654	True
ALOX12	12047	12047	True
ALOX12-AS1	14886	14886	True
ALOX15	2772	2772	True
ALOX15B	14633	14633	True
ALOX5	12229	12229	True
ALOX5AP	11143	11143	True
ALOXE3	4783	4783	True
ALPK1	2596	2596	True
ALPK3	12126	12126	True
ALPL	14294	14294	True
ALS2	4695	4695	True
ALS2CL	538	538	True
ALS2CR12	14514	14514	True
ALX3	15054	15054	True
ALYREF	6840	6840	True
AMACR	6121	6121	True
AMBP	800	800	True
AMBRA1	5918	5918	True
AMD1	5884	5884	True
AMDHD1	2795	2795	True
AMDHD2	1821	1821	True
AMER1	4019	4019	True
AMFR	945	945	True
AMH	4285	4285	True
AMIGO1	7455	7455	True
AMIGO2	2516	2516	True
AMMECR1	1239	1239	True
AMMECR1L	3344	3344	True
AMN	12438	12438	True
AMN1	8009	8009	True
AMOT	1920	1920	True
AMOTL1	210	210	True
AMOTL2	3435	3435	True
AMPD1	13336	13336	True
AMPD2	5573	5573	True
AMPD3	12223	12223	True
AMPH	416	416	True
AMT	5448	5448	True
AMTN	11466	11466	True
AMY2B	12119	12119	True
AMZ1	1572	1572	True
AMZ2	4577	4577	True
ANAPC1	4792	4792	True
ANAPC10	5950	5950	True
ANAPC11	10842	10842	True
ANAPC13	5054	5054	True
ANAPC15	4950	4950	True
ANAPC16	4719	4719	True
ANAPC2	4771	4771	True
ANAPC4	3145	3145	True
ANAPC5	4533	4533	True
ANAPC7	3112	3112	True
ANG	219	219	True
ANGEL1	3354	3354	True
ANGEL2	7752	7752	True
ANGPT1	13653	13653	True
ANGPT2	12569	12569	True
ANGPTL1	12064	12064	True
ANGPTL2	14082	14082	True
ANGPTL4	3695	3695	True
ANGPTL6	12314	12314	True
ANK1	12732	12732	True
ANK2	12191	12191	True
ANK3	6311	6311	True
ANKAR	9793	9793	True
ANKDD1A	12567	12567	True
ANKDD1B	14412	14412	True
ANKEF1	7422	7422	True
ANKFN1	13775	13775	True
ANKFY1	6222	6222	True
ANKH	3350	3350	True
ANKHD1	6878	6878	True
ANKHD1-EIF4EBP3	11402	11402	True
ANKIB1	2342	2342	True
ANKLE2	7709	7709	True
ANKMY1	1514	1514	True
ANKMY2	4442	4442	True
ANKRA2	4522	4522	True
ANKRD1	11987	11987	True
ANKRD10	1421	1421	True
ANKRD10-IT1	14585	14585	True
ANKRD11	7787	7787	True
ANKRD12	7266	7266	True
ANKRD13A	3288	3288	True
ANKRD13B	3312	3312	True
ANKRD13C	10749	10749	True
ANKRD13D	10026	10026	True
ANKRD16	3284	3284	True
ANKRD17	5798	5798	True
ANKRD18A	3848	3848	True
ANKRD18B	4028	4028	True
ANKRD2	13349	13349	True
ANKRD20A3	14152	14152	True
ANKRD20A4	12866	12866	True
ANKRD22	988	988	True
ANKRD23	3685	3685	True
ANKRD24	13673	13673	True
ANKRD26	2350	2350	True
ANKRD27	10708	10708	True
ANKRD28	9440	9440	True
ANKRD29	11103	11103	True
ANKRD30A	12175	12175	True
ANKRD30B	12248	12248	True
ANKRD31	12437	12437	True
ANKRD33B	14867	14867	True
ANKRD34A	3951	3951	True
ANKRD34B	11339	11339	True
ANKRD35	13972	13972	True
ANKRD36	2944	2944	True
ANKRD36B	9318	9318	True
ANKRD36C	11845	11845	True
ANKRD37	7457	7457	True
ANKRD39	10669	10669	True
ANKRD40	6610	6610	True
ANKRD42	5642	5642	True
ANKRD44	8877	8877	True
ANKRD46	4809	4809	True
ANKRD49	7089	7089	True
ANKRD50	8344	8344	True
ANKRD52	10864	10864	True
ANKRD53	14432	14432	True
ANKRD54	10221	10221	True
ANKRD6	5324	5324	True
ANKRD61	13158	13158	True
ANKRD62	13151	13151	True
ANKRD65	14458	14458	True
ANKRD9	2371	2371	True
ANKS1A	6880	6880	True
ANKS1B	10856	10856	True
ANKS3	4160	4160	True
ANKS6	78	78	True
ANKUB1	15017	15017	True
ANKZF1	3306	3306	True
ANLN	4101	4101	True
ANO1	11756	11756	True
ANO10	7991	7991	True
ANO2	13757	13757	True
ANO3	11818	11818	True
ANO5	11777	11777	True
ANO6	8136	8136	True
ANO7	1134	1134	True
ANO8	9974	9974	True
ANO9	8558	8558	True
ANOS1	11489	11489	True
ANP32A	2901	2901	True
ANP32B	10272	10272	True
ANP32E	2373	2373	True
ANPEP	13161	13161	True
ANTXR1	1839	1839	True
ANTXR2	148	148	True
ANXA1	2750	2750	True
ANXA11	4774	4774	True
ANXA2	1049	1049	True
ANXA2R	1205	1205	True
ANXA3	7815	7815	True
ANXA4	10692	10692	True
ANXA5	6385	6385	True
ANXA6	589	589	True
ANXA7	4650	4650	True
ANXA8	14202	14202	True
ANXA8L1	11376	11376	True
ANXA9	412	412	True
AOC2	12605	12605	True
AOC3	14646	14646	True
AOX1	1399	1399	True
AP000253.1	13743	13743	True
AP000350.6	14484	14484	True
AP000866.1	15218	15218	True
AP001372.2	14641	14641	True
AP001412.1	15219	15219	True
AP001437.1	12998	12998	True
AP1AR	3060	3060	True
AP1B1	5653	5653	True
AP1G1	10006	10006	True
AP1G2	7184	7184	True
AP1M1	3784	3784	True
AP1M2	4580	4580	True
AP1S1	6965	6965	True
AP1S2	5684	5684	True
AP1S3	4556	4556	True
AP2A1	7284	7284	True
AP2A2	6782	6782	True
AP2B1	454	454	True
AP2M1	10547	10547	True
AP2S1	6075	6075	True
AP3B1	8918	8918	True
AP3B2	4671	4671	True
AP3D1	5414	5414	True
AP3M1	6453	6453	True
AP3M2	9997	9997	True
AP3S1	3910	3910	True
AP3S2	1907	1907	True
AP4B1	4715	4715	True
AP4B1-AS1	11559	11559	True
AP4E1	7432	7432	True
AP4M1	1531	1531	True
AP4S1	2115	2115	True
AP5B1	7044	7044	True
AP5M1	10342	10342	True
AP5S1	7802	7802	True
AP5Z1	10062	10062	True
APAF1	3500	3500	True
APBA1	11905	11905	True
APBA2	11563	11563	True
APBA3	9575	9575	True
APBB1	12275	12275	True
APBB1IP	13902	13902	True
APBB2	8222	8222	True
APBB3	9592	9592	True
APC	3222	3222	True
APC2	15002	15002	True
APCDD1	5793	5793	True
APCDD1L	13009	13009	True
APEH	9564	9564	True
APEX1	8527	8527	True
APEX2	8946	8946	True
APH1A	7857	7857	True
APH1B	6687	6687	True
API5	5587	5587	True
APIP	6543	6543	True
APITD1	14296	14296	True
APITD1-CORT	13728	13728	True
APLF	11407	11407	True
APLP1	5836	5836	True
APLP2	7037	7037	True
APMAP	6552	6552	True
APOA1	11127	11127	True
APOA1BP	13955	13955	True
APOBEC2	14658	14658	True
APOBEC3A	15061	15061	True
APOBEC3B	9104	9104	True
APOBEC3F	11605	11605	True
APOBEC3H	12521	12521	True
APOBR	11794	11794	True
APOC1	6458	6458	True
APOD	14399	14399	True
APOE	2927	2927	True
APOL1	3111	3111	True
APOL2	2394	2394	True
APOL3	3728	3728	True
APOL4	13965	13965	True
APOL6	1861	1861	True
APOLD1	7780	7780	True
APOM	3774	3774	True
APOO	6660	6660	True
APOOL	8973	8973	True
APOPT1	12717	12717	True
APP	8066	8066	True
APPBP2	8562	8562	True
APPL1	8972	8972	True
APPL2	9755	9755	True
APRT	8755	8755	True
APTR	12007	12007	True
APTX	4523	4523	True
AQP1	13770	13770	True
AQP11	1588	1588	True
AQP3	6445	6445	True
AQR	1940	1940	True
AR	6498	6498	True
ARAF	10552	10552	True
ARAP1	7363	7363	True
ARAP2	225	225	True
ARAP3	1600	1600	True
ARC	11136	11136	True
ARCN1	1416	1416	True
AREG	193	193	True
AREL1	4137	4137	True
ARF1	2489	2489	True
ARF3	3410	3410	True
ARF4	7872	7872	True
ARF4-AS1	15052	15052	True
ARF5	5789	5789	True
ARF6	8959	8959	True
ARFGAP1	2422	2422	True
ARFGAP2	6797	6797	True
ARFGAP3	1383	1383	True
ARFGEF1	6340	6340	True
ARFGEF2	5619	5619	True
ARFGEF3	11463	11463	True
ARFIP1	8863	8863	True
ARFIP2	9624	9624	True
ARFRP1	8682	8682	True
ARG1	15211	15211	True
ARG2	1807	1807	True
ARGLU1	10926	10926	True
ARHGAP1	4720	4720	True
ARHGAP10	1300	1300	True
ARHGAP11A	8055	8055	True
ARHGAP11B	8252	8252	True
ARHGAP12	4977	4977	True
ARHGAP15	11520	11520	True
ARHGAP17	10170	10170	True
ARHGAP18	4561	4561	True
ARHGAP19	4129	4129	True
ARHGAP20	2372	2372	True
ARHGAP21	1972	1972	True
ARHGAP22	12404	12404	True
ARHGAP23	14769	14769	True
ARHGAP24	4745	4745	True
ARHGAP26	57	57	True
ARHGAP27	3471	3471	True
ARHGAP28	13912	13912	True
ARHGAP29	7892	7892	True
ARHGAP30	4185	4185	True
ARHGAP31	11455	11455	True
ARHGAP32	6162	6162	True
ARHGAP33	3183	3183	True
ARHGAP35	6287	6287	True
ARHGAP39	11923	11923	True
ARHGAP4	1356	1356	True
ARHGAP40	13225	13225	True
ARHGAP42	703	703	True
ARHGAP44	1936	1936	True
ARHGAP5	71	71	True
ARHGAP5-AS1	11137	11137	True
ARHGAP6	12450	12450	True
ARHGAP8	1519	1519	True
ARHGDIA	5753	5753	True
ARHGDIB	2649	2649	True
ARHGDIG	507	507	True
ARHGEF1	2876	2876	True
ARHGEF10	2003	2003	True
ARHGEF10L	2423	2423	True
ARHGEF11	8995	8995	True
ARHGEF12	5784	5784	True
ARHGEF16	8171	8171	True
ARHGEF17	5643	5643	True
ARHGEF18	1312	1312	True
ARHGEF19	2663	2663	True
ARHGEF2	1482	1482	True
ARHGEF25	3023	3023	True
ARHGEF26	3528	3528	True
ARHGEF26-AS1	13718	13718	True
ARHGEF28	4301	4301	True
ARHGEF3	1153	1153	True
ARHGEF33	13721	13721	True
ARHGEF35	9239	9239	True
ARHGEF37	3201	3201	True
ARHGEF38	7374	7374	True
ARHGEF39	7554	7554	True
ARHGEF4	3070	3070	True
ARHGEF40	2675	2675	True
ARHGEF5	9404	9404	True
ARHGEF6	11574	11574	True
ARHGEF7	5687	5687	True
ARHGEF9	4605	4605	True
ARID1A	8208	8208	True
ARID1B	2166	2166	True
ARID2	6309	6309	True
ARID3A	1340	1340	True
ARID3B	1318	1318	True
ARID4A	5171	5171	True
ARID4B	3113	3113	True
ARID5A	1642	1642	True
ARID5B	3576	3576	True
ARIH1	7722	7722	True
ARIH2	5671	5671	True
ARIH2OS	12365	12365	True
ARL1	7364	7364	True
ARL10	11852	11852	True
ARL11	11527	11527	True
ARL13B	4508	4508	True
ARL14	13700	13700	True
ARL14EP	10598	10598	True
ARL15	3143	3143	True
ARL16	6342	6342	True
ARL17A	3433	3433	True
ARL17B	7635	7635	True
ARL2	1110	1110	True
ARL2BP	6745	6745	True
ARL3	1733	1733	True
ARL4A	364	364	True
ARL4C	3720	3720	True
ARL4D	4371	4371	True
ARL5A	9806	9806	True
ARL5B	5450	5450	True
ARL6	10976	10976	True
ARL6IP1	5659	5659	True
ARL6IP4	8005	8005	True
ARL6IP5	2629	2629	True
ARL6IP6	7723	7723	True
ARL8A	4290	4290	True
ARL8B	10995	10995	True
ARL9	14729	14729	True
ARMC1	9129	9129	True
ARMC10	3642	3642	True
ARMC12	12771	12771	True
ARMC2	3454	3454	True
ARMC3	12055	12055	True
ARMC5	3444	3444	True
ARMC6	4172	4172	True
ARMC7	7943	7943	True
ARMC8	4790	4790	True
ARMC9	3626	3626	True
ARMCX1	316	316	True
ARMCX2	1750	1750	True
ARMCX3	2774	2774	True
ARMCX4	11900	11900	True
ARMCX5	7094	7094	True
ARMCX6	2084	2084	True
ARMT1	11719	11719	True
ARNT	7287	7287	True
ARNT2	707	707	True
ARNTL	8357	8357	True
ARNTL2	168	168	True
ARPC1A	6549	6549	True
ARPC1B	6869	6869	True
ARPC2	4628	4628	True
ARPC3	8885	8885	True
ARPC4	7933	7933	True
ARPC4-TTLL3	14429	14429	True
ARPC5	9850	9850	True
ARPC5L	5792	5792	True
ARPIN	557	557	True
ARPP19	9071	9071	True
ARRB1	5673	5673	True
ARRB2	3953	3953	True
ARRDC1	3747	3747	True
ARRDC1-AS1	11544	11544	True
ARRDC2	4773	4773	True
ARRDC3	6262	6262	True
ARRDC3-AS1	14321	14321	True
ARRDC4	7097	7097	True
ARSA	5006	5006	True
ARSB	4636	4636	True
ARSD	8861	8861	True
ARSG	2413	2413	True
ARSJ	1689	1689	True
