gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
GREB1	2	2	0.9980899052571666	0.9980899052571666	1
SYTL5	2	2	0.997295938774313	0.997295938774313	2
MYBL1	2	2	0.9944570161104814	0.9944570161104814	3
LARP6	2	2	0.9942078568708523	0.9942078568708523	4
FGD3	2	2	0.9911721811934004	0.9911721811934004	5
AL121578.3	2	2	0.9898357372449333	0.9898357372449333	6
PTGER4	2	2	0.9744953019677215	0.9744953019677215	7
HRK	2	2	0.9611538097403243	0.9611538097403243	8
MSMO1	2	2	0.9562024791499657	0.9562024791499657	9
AC105411.1	2	2	0.9518843068737259	0.9518843068737259	10
AL160408.1	2	2	0.9518080165024652	0.9518080165024652	11
RRAGD	2	2	0.945603858614729	0.945603858614729	12
MED13L	2	2	0.9383796958177714	0.9383796958177714	13
RUNX1	2	2	0.9350598145692277	0.9350598145692277	14
TRPS1	2	2	0.9306411760446426	0.9306411760446426	15
NEU1	2	2	0.926574640645299	0.926574640645299	16
C6orf141	2	2	0.9262983415198865	0.9262983415198865	17
PALLD	2	2	0.9249430473980055	0.9249430473980055	18
LPIN1	2	2	0.9139723499742758	0.9139723499742758	19
IRS1	2	2	0.9100064095758106	0.9100064095758106	20
HMOX1	2	2	0.9065037315497801	0.9065037315497801	21
LINC00160	2	2	0.8965816912729244	0.8965816912729244	22
AL132780.2	2	2	0.8946678871762118	0.8946678871762118	23
SHMT2	2	2	0.8867650013041415	0.8867650013041415	24
AP002387.2	2	2	0.884931598165936	0.884931598165936	25
CASC2	2	2	0.8847884820674577	0.8847884820674577	26
PSAT1	2	2	0.8806123209788383	0.8806123209788383	27
WBP2	2	2	0.8644345454899423	0.8644345454899423	28
NEDD9	2	2	0.864316133192308	0.864316133192308	29
ACSS2	2	2	0.8625207244100634	0.8625207244100634	30
FDFT1	2	2	0.8595496765872752	0.8595496765872752	31
TGFB2	2	2	0.8557279959545909	0.8557279959545909	32
PCK2	2	2	0.8501356648540208	0.8501356648540208	33
OLMALINC	2	2	0.8485417339998519	0.8485417339998519	34
PLOD2	2	2	0.8223169136401283	0.8223169136401283	35
CCDC63	1	1	0.9999457318065882	0.9999457318065882	36
UCP1	1	1	0.9997220060046704	0.9997220060046704	37
MALRD1	1	1	0.9996743908395288	0.9996743908395288	38
CYP2B6	1	1	0.9991104192149448	0.9991104192149448	39
CNN1	1	1	0.9983876348270876	0.9983876348270876	40
CCN5	1	1	0.9976664676832908	0.9976664676832908	41
AP005121.1	1	1	0.9974980540420328	0.9974980540420328	42
EYA4	1	1	0.9974493949096436	0.9974493949096436	43
PNLIPRP3	1	1	0.997164461247637	0.997164461247637	44
KIAA1210	1	1	0.9966084732569775	0.9966084732569775	45
MT1H	1	1	0.9964972756588456	0.9964972756588456	46
AC034213.1	1	1	0.996219281663516	0.996219281663516	47
DLX5	1	1	0.9960926900743474	0.9960926900743474	48
AL138826.1	1	1	0.9960384218809356	0.9960384218809356	49
ROBO2	1	1	0.9958756173007	0.9958756173007	50
C3orf18	1	1	0.9957188924719226	0.9957188924719226	51
SSTR5-AS1	1	1	0.995224398979758	0.995224398979758	52
TRGC1	1	1	0.9951158625929344	0.9951158625929344	53
AC112493.1	1	1	0.9947359852390514	0.9947359852390514	54
AL049869.2	1	1	0.9944646442719922	0.9944646442719922	55
ADAMTS19	1	1	0.9943561078851684	0.9943561078851684	56
COL4A3	1	1	0.9932707440169316	0.9932707440169316	57
FEZF1-AS1	1	1	0.9929451348564606	0.9929451348564606	58
LINC02327	1	1	0.9926737938894016	0.9926737938894016	59
AL138701.2	1	1	0.9916969664079884	0.9916969664079884	60
AC021613.1	1	1	0.990774407119987	0.990774407119987	61
LINC02676	1	1	0.9906116025397514	0.9906116025397514	62
AC012378.2	1	1	0.9902317251858684	0.9902317251858684	63
MIR548XHG	1	1	0.989417702284691	0.989417702284691	64
SOX21-AS1	1	1	0.98909209312422	0.98909209312422	65
LINC01792	1	1	0.9888516466333176	0.9888516466333176	66
GJA3	1	1	0.9888207521571608	0.9888207521571608	67
LINC02300	1	1	0.9882780702230424	0.9882780702230424	68
HS3ST5	1	1	0.9882238020296304	0.9882238020296304	69
GPR173	1	1	0.9880609974493948	0.9880609974493948	70
SIAH2-AS1	1	1	0.9876268519021002	0.9876268519021002	71
MDGA2	1	1	0.9875725837086884	0.9875725837086884	72
ITGA9-AS1	1	1	0.9871927063548056	0.9871927063548056	73
AC004130.2	1	1	0.9871384381613936	0.9871384381613936	74
AL357375.1	1	1	0.986975633581158	0.986975633581158	75
AL133335.1	1	1	0.9867585608075108	0.9867585608075108	76
U52111.1	1	1	0.986650024420687	0.986650024420687	77
AGAP1-IT1	1	1	0.9865414880338632	0.9865414880338632	78
GBX2	1	1	0.9864872198404516	0.9864872198404516	79
AP002761.4	1	1	0.986324415260216	0.986324415260216	80
AL136102.1	1	1	0.9861616106799804	0.9861616106799804	81
AL356413.1	1	1	0.9858902697129212	0.9858902697129212	82
HMGA2-AS1	1	1	0.9857817333260976	0.9857817333260976	83
AC073050.1	1	1	0.9857274651326856	0.9857274651326856	84
LNCAROD	1	1	0.9854561241656266	0.9854561241656266	85
CACNA2D3	1	1	0.9851847831985672	0.9851847831985672	86
PGM5	1	1	0.985021978618332	0.985021978618332	87
TCEAL9	1	1	0.9849269177009266	0.9849269177009266	88
QPRT	2	1	0.9838679153904718	0.9838679153904718	89
CA2	2	1	0.9838269923512328	0.9838269923512328	90
TENM3-AS1	1	1	0.983556737396212	0.983556737396212	91
AC083967.1	1	1	0.9833939328159764	0.9833939328159764	92
MEF2C-AS1	1	1	0.9823628371411516	0.9823628371411516	93
AC005225.2	1	1	0.981874423400445	0.981874423400445	94
AC099344.1	1	1	0.9816030824333858	0.9816030824333858	95
DOCK8-AS1	1	1	0.981548814239974	0.981548814239974	96
ZNF732	1	1	0.9813317414663266	0.9813317414663266	97
LINC02253	1	1	0.980517718565149	0.980517718565149	98
SUSD3	2	1	0.9804733267665213	0.9804733267665213	99
AL136962.1	1	1	0.9804634503717372	0.9804634503717372	100
AC099520.1	1	1	0.9798665002442069	0.9798665002442069	101
LINC02315	1	1	0.9797036956639712	0.9797036956639712	102
AP003900.1	1	1	0.9795408910837358	0.9795408910837358	103
AC012645.3	1	1	0.9793780865035004	0.9793780865035004	104
C3orf67-AS1	1	1	0.9787268681825582	0.9787268681825582	105
LRATD1	1	1	0.9784012590220872	0.9784012590220872	106
NOVA2	1	1	0.9783469908286752	0.9783469908286752	107
AC005256.1	1	1	0.9782927226352636	0.9782927226352636	108
AC126696.1	1	1	0.9778585770879687	0.9778585770879687	109
FREM2	1	1	0.977750040701145	0.977750040701145	110
BMERB1	1	1	0.9775872361209096	0.9775872361209096	111
AC132807.2	1	1	0.977478699734086	0.977478699734086	112
SLC7A8	2	1	0.9773754263900694	0.9773754263900694	113
AC104083.1	1	1	0.9771530905736148	0.9771530905736148	114
MEIOB	1	1	0.9769902859933792	0.9769902859933792	115
AC019211.1	1	1	0.9769360177999674	0.9769360177999674	116
PRPH	2	1	0.97681540337588	0.97681540337588	117
GABBR2	1	1	0.9762847994790254	0.9762847994790254	118
AC005229.5	1	1	0.9758506539317306	0.9758506539317306	119
MCTP2	2	1	0.9758433250402708	0.9758433250402708	120
DSCAML1	1	1	0.9756878493514952	0.9756878493514952	121
AC010615.2	1	1	0.975362240191024	0.975362240191024	122
AC025809.1	1	1	0.9751994356107884	0.9751994356107884	123
LAMA3	2	1	0.9746657214746786	0.9746657214746786	124
AC023824.3	1	1	0.9746024854832582	0.9746024854832582	125
LINC00871	1	1	0.9744396809030228	0.9744396809030228	126
MIR2052HG	1	1	0.974005535355728	0.974005535355728	127
CHRNA9	1	1	0.9727573669072556	0.9727573669072556	128
NKX2-8	2	1	0.9722324906440696	0.9722324906440696	129
LINC00648	1	1	0.9720518803929016	0.9720518803929016	130
AC008534.1	1	1	0.97199761219949	0.97199761219949	131
LINC00173	1	1	0.971943344006078	0.971943344006078	132
AC009478.1	1	1	0.9714549302653714	0.9714549302653714	133
SLC6A8	2	1	0.9712661612839995	0.9712661612839995	134
AC005482.1	1	1	0.971237857491724	0.971237857491724	135
AC040174.1	1	1	0.9711835892983124	0.9711835892983124	136
LHX1-DT	1	1	0.9710750529114884	0.9710750529114884	137
AL122058.1	1	1	0.9704238345905464	0.9704238345905464	138
SYT16	2	1	0.9703334348717201	0.9703334348717201	139
GFRA3	1	1	0.9702610300103108	0.9702610300103108	140
LINC01250	1	1	0.9701524936234872	0.9701524936234872	141
AF131215.6	1	1	0.9700982254300754	0.9700982254300754	142
AC092448.1	1	1	0.9698268844630162	0.9698268844630162	143
ZMAT4	1	1	0.9697726162696044	0.9697726162696044	144
LINC02293	1	1	0.9694470071091332	0.9694470071091332	145
AL591686.2	1	1	0.9693927389157216	0.9693927389157216	146
UBALD2	2	1	0.9693093430943305	0.9693093430943305	147
HERC6	2	1	0.9691953290806272	0.9691953290806272	148
AC018685.2	1	1	0.9691213979486624	0.9691213979486624	149
SYNPR-AS1	1	1	0.9690128615618386	0.9690128615618386	150
AL132709.7	1	1	0.9687957887881912	0.9687957887881912	151
AL591501.1	1	1	0.9687415205947794	0.9687415205947794	152
NECTIN3-AS1	1	1	0.9686872524013675	0.9686872524013675	153
PABPC1L2B	1	1	0.9683616432408964	0.9683616432408964	154
LINC01322	1	1	0.9683073750474848	0.9683073750474848	155
LINC02742	1	1	0.9680360340804256	0.9680360340804256	156
GBP2	2	1	0.9678919384057669	0.9678919384057669	157
ADAMTS19-AS1	1	1	0.9675476203397188	0.9675476203397188	158
PRICKLE2-AS2	1	1	0.9673848157594832	0.9673848157594832	159
AC138305.1	1	1	0.967167742985836	0.967167742985836	160
MIMT1	1	1	0.9671134747924242	0.9671134747924242	161
AC117377.1	1	1	0.9670049384056004	0.9670049384056004	162
LINC02591	1	1	0.9669506702121886	0.9669506702121886	163
AL590666.4	1	1	0.9656482335703044	0.9656482335703044	164
AC002375.1	1	1	0.965431160796657	0.965431160796657	165
AC004233.1	1	1	0.965159819829598	0.965159819829598	166
SLC4A8	2	1	0.9651486646263467	0.9651486646263467	167
LEF1	2	1	0.9650107619126815	0.9650107619126815	168
MAFTRR	1	1	0.964779942475715	0.964779942475715	169
SLC5A4-AS1	1	1	0.9647256742823032	0.9647256742823032	170
PRLR	2	1	0.9646231390911149	0.9646231390911149	171
PAX5	1	1	0.9642915287350085	0.9642915287350085	172
FKBP11	2	1	0.9639962752432335	0.9639962752432335	173
AC083855.2	1	1	0.9639659195745374	0.9639659195745374	174
EDN1	2	1	0.9637324887409743	0.9637324887409743	175
LINC02830	1	1	0.9636945786074782	0.9636945786074782	176
ZNF790-AS1	1	1	0.9635317740272428	0.9635317740272428	177
HAAO	1	1	0.9633147012535952	0.9633147012535952	178
GRID1	1	1	0.9632604330601834	0.9632604330601834	179
AC092720.2	1	1	0.9631518966733598	0.9631518966733598	180
SNTN	1	1	0.963097628479948	0.963097628479948	181
RGS9	2	1	0.9628860784185072	0.9628860784185072	182
CNTNAP5	1	1	0.9624464101590058	0.9624464101590058	183
PLAAT3	1	1	0.9623378737721822	0.9623378737721822	184
LINC01844	1	1	0.9621208009985348	0.9621208009985348	185
AC006974.2	1	1	0.9618494600314756	0.9618494600314756	186
WNT5A	2	1	0.9613625631045146	0.9613625631045146	187
FRK	2	1	0.9613027951232862	0.9613027951232862	188
CCDC194	1	1	0.9610897053237096	0.9610897053237096	189
F3	2	1	0.9610092239683852	0.9610092239683852	190
ACBD7	1	1	0.9608183643566506	0.9608183643566506	191
LINC02588	1	1	0.9606012915830032	0.9606012915830032	192
AC019118.2	1	1	0.960384218809356	0.960384218809356	193
AC010729.2	1	1	0.960329950615944	0.960329950615944	194
HTR1E	1	1	0.9602214142291204	0.9602214142291204	195
NR2E3	2	1	0.9600184350133194	0.9600184350133194	196
NCF2	2	1	0.9598769292922826	0.9598769292922826	197
ISL1	1	1	0.9597872686818256	0.9597872686818256	198
AL732437.3	1	1	0.9597330004884136	0.9597330004884136	199
KCNJ4	1	1	0.9592445867477072	0.9592445867477072	200
AL133346.1	1	1	0.958973245780648	0.958973245780648	201
AF131215.2	1	1	0.9587019048135887	0.9587019048135887	202
AC104170.1	1	1	0.9584848320399414	0.9584848320399414	203
SLC2A14	1	1	0.958267759266294	0.958267759266294	204
NAV2	2	1	0.9580888960805545	0.9580888960805545	205
AL049870.2	1	1	0.9580506864926468	0.9580506864926468	206
FIRRE	2	1	0.9580281136626534	0.9580281136626534	207
SLC6A6	2	1	0.9578555136671352	0.9578555136671352	208
AC004551.1	1	1	0.9575080045585282	0.9575080045585282	209
AC116362.1	1	1	0.9574537363651164	0.9574537363651164	210
AL121790.1	2	1	0.9573865709520484	0.9573865709520484	211
AC242842.1	1	1	0.9572909317848808	0.9572909317848808	212
MPPED1	1	1	0.9571281272046454	0.9571281272046454	213
ADAM29	1	1	0.9570738590112337	0.9570738590112337	214
AC005808.1	1	1	0.9569653226244098	0.9569653226244098	215
MYOF	2	1	0.9569157847372958	0.9569157847372958	216
PADI3	1	1	0.956911054430998	0.956911054430998	217
AMTN	1	1	0.9568567862375862	0.9568567862375862	218
AC020550.2	1	1	0.9566397134639388	0.9566397134639388	219
AL133353.1	1	1	0.9565854452705268	0.9565854452705268	220
AC107021.2	1	1	0.9564769088837032	0.9564769088837032	221
FGD6	2	1	0.9564172418796684	0.9564172418796684	222
SOX21	1	1	0.9563683724968796	0.9563683724968796	223
MMP24	2	1	0.9562802658853028	0.9562802658853028	224
AP006248.4	1	1	0.9557171541759376	0.9557171541759376	225
SGCG	1	1	0.955554349595702	0.955554349595702	226
SMTNL2	1	1	0.9554458132088782	0.9554458132088782	227
CDH18	1	1	0.9551202040484073	0.9551202040484073	228
AL358232.2	1	1	0.95490313127476	0.95490313127476	229
AC022034.1	1	1	0.9543061811472296	0.9543061811472296	230
SOAT2	1	1	0.9540348401801704	0.9540348401801704	231
TRIB3	2	1	0.9537261932045178	0.9537261932045178	232
ZNF878	2	1	0.953694583797142	0.953694583797142	233
AC009961.4	1	1	0.9532208172789928	0.9532208172789928	234
AC106845.1	1	1	0.9525695989580508	0.9525695989580508	235
INSYN1-AS1	1	1	0.952461062571227	0.952461062571227	236
DIPK1B	1	1	0.9523525261844034	0.9523525261844034	237
AC010677.2	1	1	0.9522982579909914	0.9522982579909914	238
CCDC84-DT	1	1	0.9522439897975796	0.9522439897975796	239
CPLANE1	2	1	0.9520308364152275	0.9520308364152275	240
AP000424.1	1	1	0.9519183806371084	0.9519183806371084	241
AC020704.1	1	1	0.9517013078634612	0.9517013078634612	242
AL050403.2	1	1	0.95077874857546	0.95077874857546	243
CARD18	1	1	0.9503446030281651	0.9503446030281651	244
NRG3	1	1	0.9502903348347532	0.9502903348347532	245
LINC02696	1	1	0.9500189938676942	0.9500189938676942	246
AC139720.1	1	1	0.9499647256742824	0.9499647256742824	247
AC007402.1	1	1	0.9498561892874586	0.9498561892874586	248
CYBRD1	2	1	0.9495229569052328	0.9495229569052328	249
SOGA3	1	1	0.9492592391599284	0.9492592391599284	250
AC010980.1	1	1	0.9492049709665166	0.9492049709665166	251
AC239800.2	1	1	0.9491507027731046	0.9491507027731046	252
TMEM221	1	1	0.949042166386281	0.949042166386281	253
LINC01419	1	1	0.9489336299994572	0.9489336299994572	254
FREM2-AS1	1	1	0.9488250936126336	0.9488250936126336	255
AL357141.1	1	1	0.94871655722581	0.94871655722581	256
VXN	2	1	0.948592954219182	0.948592954219182	257
ZNF114-AS1	1	1	0.9483909480653387	0.9483909480653387	258
ADIRF-AS1	1	1	0.948336679871927	0.948336679871927	259
LINC00989	1	1	0.9482281434851034	0.9482281434851034	260
PXDN	2	1	0.9480565236968796	0.9480565236968796	261
JPH2	2	1	0.9478757275991587	0.9478757275991587	262
ITGB6	2	1	0.947819717663053	0.947819717663053	263
KCNQ3	2	1	0.9478023359083807	0.9478023359083807	264
JPH3	2	1	0.9474948723957085	0.9474948723957085	265
CACNG4	2	1	0.9469290569905646	0.9469290569905646	266
PRICKLE2-AS3	1	1	0.9467629022629837	0.9467629022629837	267
NAALADL2	2	1	0.946565737255928	0.946565737255928	268
WIPI1	2	1	0.9465303562300655	0.9465303562300655	269
AC008591.1	1	1	0.9464915612959244	0.9464915612959244	270
SHH	1	1	0.9461659521354534	0.9461659521354534	271
INSYN1	1	1	0.9461116839420416	0.9461116839420416	272
THBS1	2	1	0.9460381778477374	0.9460381778477374	273
AL844908.2	1	1	0.94459217452651	0.94459217452651	274
AP005262.2	1	1	0.9437238834319206	0.9437238834319206	275
ANG	2	1	0.9436992615903886	0.9436992615903886	276
AL035252.5	1	1	0.943561078851685	0.943561078851685	277
AL606519.1	1	1	0.9434525424648612	0.9434525424648612	278
SCHLAP1	1	1	0.9433982742714496	0.9433982742714496	279
CADPS2	2	1	0.9433835248026138	0.9433835248026138	280
AC106799.2	1	1	0.9433440060780376	0.9433440060780376	281
CREB3L2	2	1	0.9431487594939989	0.9431487594939989	282
UMODL1	1	1	0.9428555923373312	0.9428555923373312	283
IRAIN	1	1	0.9423671785966246	0.9423671785966246	284
AC119150.1	1	1	0.942204374016389	0.942204374016389	285
PGR	2	1	0.9420943214888342	0.9420943214888342	286
FAM226B	1	1	0.9419873012427415	0.9419873012427415	287
AC104123.1	1	1	0.941878764855918	0.941878764855918	288
MSLNL	1	1	0.941824496662506	0.941824496662506	289
C12orf49	2	1	0.9417544696821523	0.9417544696821523	290
CT62	2	1	0.9414668398195973	0.9414668398195973	291
PMFBP1	1	1	0.9413903511152114	0.9413903511152114	292
SLC49A4	1	1	0.941119010148152	0.941119010148152	293
AC124067.4	1	1	0.9409019373745048	0.9409019373745048	294
LINC00621	1	1	0.9405763282140338	0.9405763282140338	295
GRM8	1	1	0.94046779182721	0.94046779182721	296
RIMBP2	1	1	0.9403049872469744	0.9403049872469744	297
SMCO4	2	1	0.9402049201269764	0.9402049201269764	298
CACNA1D	2	1	0.9401045392842038	0.9401045392842038	299
LINC01138	1	1	0.939816573506268	0.939816573506268	300
LINC01315	2	1	0.9397279508773226	0.9397279508773226	301
AP001351.1	1	1	0.9397080371194444	0.9397080371194444	302
AL079343.1	1	1	0.9395995007326208	0.9395995007326208	303
IRF7	2	1	0.939578122727188	0.939578122727188	304
FAM241A	2	1	0.93949392508759	0.93949392508759	305
CRPPA	1	1	0.9393281597655614	0.9393281597655614	306
AC010336.8	1	1	0.9391653551853258	0.9391653551853258	307
ZNF687-AS1	1	1	0.9390025506050904	0.9390025506050904	308
PLIN5	2	1	0.9386860399510817	0.9386860399510817	309
AL049830.3	1	1	0.938459868670972	0.938459868670972	310
AC011374.2	1	1	0.9383513322841482	0.9383513322841482	311
AC073270.2	1	1	0.9380257231236772	0.9380257231236772	312
SAT2	2	1	0.9377287937750776	0.9377287937750776	313
GSG1L	1	1	0.9375373093829706	0.9375373093829706	314
DPH6-DT	1	1	0.9369946274488522	0.9369946274488522	315
IGSF1	2	1	0.9368273706166352	0.9368273706166352	316
LINC00536	1	1	0.936723286481793	0.936723286481793	317
LINC01811	1	1	0.9366690182883812	0.9366690182883812	318
AC004704.1	1	1	0.9366147500949692	0.9366147500949692	319
LINC01778	2	1	0.9366056606402461	0.9366056606402461	320
AL078622.1	1	1	0.936397677321322	0.936397677321322	321
LAMC3	1	1	0.9359635317740272	0.9359635317740272	322
AC002460.2	1	1	0.9358007271937916	0.9358007271937916	323
AC016903.2	1	1	0.93574645900038	0.93574645900038	324
AL132712.2	1	1	0.9356379226135562	0.9356379226135562	325
AC008875.3	1	1	0.9355836544201444	0.9355836544201444	326
AC069277.1	1	1	0.9354751180333208	0.9354751180333208	327
KIF1A	2	1	0.9354020992939591	0.9354020992939591	328
LINC02005	1	1	0.935366581646497	0.935366581646497	329
AL391152.1	1	1	0.9353123134530852	0.9353123134530852	330
ABCG1	2	1	0.9352633494254678	0.9352633494254678	331
LINC02518	1	1	0.9351495088728496	0.9351495088728496	332
TRIM55	2	1	0.9348465607413244	0.9348465607413244	333
AC012494.1	1	1	0.9348238997123786	0.9348238997123786	334
GUCY1A2	2	1	0.9346522923158259	0.9346522923158259	335
LINC00461	1	1	0.934389754165084	0.934389754165084	336
AL512380.2	1	1	0.93428121777826	0.93428121777826	337
AC009522.1	1	1	0.934009876811201	0.934009876811201	338
AL138999.2	1	1	0.9337928040375536	0.9337928040375536	339
AC132807.1	1	1	0.9337385358441418	0.9337385358441418	340
FAM156A	1	1	0.9334671948770824	0.9334671948770824	341
BFSP2	1	1	0.933304390296847	0.933304390296847	342
CCL15	1	1	0.9332501221034352	0.9332501221034352	343
CHPF	2	1	0.9331548781150083	0.9331548781150083	344
MAF	2	1	0.9331188084522865	0.9331188084522865	345
AC055855.1	1	1	0.9328159765561403	0.9328159765561403	346
FAM230C	1	1	0.9327074401693168	0.9327074401693168	347
AC090503.2	1	1	0.9324903673956694	0.9324903673956694	348
AL117327.1	1	1	0.9321104900417864	0.9321104900417864	349
TUBB8	2	1	0.9319595884985248	0.9319595884985248	350
LINC02288	1	1	0.9318934172681392	0.9318934172681392	351
DLL4	2	1	0.931732657484722	0.931732657484722	352
BLACAT1	1	1	0.9316763444944918	0.9316763444944918	353
AC007673.1	1	1	0.931567808107668	0.931567808107668	354
AL138999.1	1	1	0.9314050035274326	0.9314050035274326	355
ARHGAP26-AS1	1	1	0.9311879307537853	0.9311879307537853	356
FGF13-AS1	1	1	0.9310793943669616	0.9310793943669616	357
AC133540.1	1	1	0.9310251261735496	0.9310251261735496	358
AC079226.2	1	1	0.930916589786726	0.930916589786726	359
DENND11	1	1	0.9308623215933142	0.9308623215933142	360
AC005703.7	1	1	0.9306995170130786	0.9306995170130786	361
AP003119.1	1	1	0.9305909806262548	0.9305909806262548	362
AC138649.1	1	1	0.9305367124328432	0.9305367124328432	363
AL137001.2	1	1	0.9304824442394312	0.9304824442394312	364
AC079779.2	1	1	0.9304281760460196	0.9304281760460196	365
AL135878.1	1	1	0.930265371465784	0.930265371465784	366
HYMAI	1	1	0.9301025668855484	0.9301025668855484	367
LNCSRLR	2	1	0.9300267314150038	0.9300267314150038	368
DYNC1I1	2	1	0.9296877241719772	0.9296877241719772	369
UPP1	2	1	0.929515762467944	0.929515762467944	370
AP003119.3	1	1	0.9291257394041352	0.9291257394041352	371
IL24	2	1	0.9289690625276348	0.9289690625276348	372
SLC25A27	1	1	0.928908666630488	0.928908666630488	373
LINC02247	1	1	0.928854398437076	0.928854398437076	374
PID1	2	1	0.9288254155499667	0.9288254155499667	375
BX470102.2	1	1	0.9286373256634286	0.9286373256634286	376
AC124947.1	1	1	0.9285830574700168	0.9285830574700168	377
AL590004.3	1	1	0.9284202528897814	0.9284202528897814	378
AL359878.1	1	1	0.9283659846963694	0.9283659846963694	379
SOX9	2	1	0.9283270429274393	0.9283270429274393	380
PLPPR3	2	1	0.9283019104522189	0.9283019104522189	381
PCDHA10	2	1	0.9279236995780151	0.9279236995780151	382
SULT2B1	2	1	0.927739353151537	0.927739353151537	383
CCN3	1	1	0.9275519617951918	0.9275519617951918	384
NXPH2	1	1	0.927443425408368	0.927443425408368	385
AC008056.1	1	1	0.9273348890215444	0.9273348890215444	386
AL731537.1	1	1	0.9271178162478972	0.9271178162478972	387
ITIH2	1	1	0.9270635480544852	0.9270635480544852	388
OTULINL	2	1	0.9268843779032145	0.9268843779032145	389
AL035401.1	1	1	0.9266836707006024	0.9266836707006024	390
AC007785.1	1	1	0.9266294025071904	0.9266294025071904	391
AC092384.1	2	1	0.9265400663677135	0.9265400663677135	392
AC021148.2	1	1	0.9263037933467196	0.9263037933467196	393
OTX2-AS1	1	1	0.926140988766484	0.926140988766484	394
GBP1	2	1	0.9260691184120562	0.9260691184120562	395
AC073210.3	1	1	0.9259239159928366	0.9259239159928366	396
ACTR3C	2	1	0.9257650011426146	0.9257650011426146	397
AC093817.2	1	1	0.9255983068323655	0.9255983068323655	398
CFAP206	1	1	0.9255440386389536	0.9255440386389536	399
SPOCK3	1	1	0.9254897704455418	0.9254897704455418	400
ZNF552	2	1	0.9252598497037464	0.9252598497037464	401
BASP1-AS1	1	1	0.9252184294784828	0.9252184294784828	402
AC117528.1	1	1	0.9250013567048352	0.9250013567048352	403
AC005532.1	1	1	0.924730015737776	0.924730015737776	404
LINC01659	1	1	0.9246214793509524	0.9246214793509524	405
TTC14	2	1	0.9245017695577098	0.9245017695577098	406
C5orf56	1	1	0.9242416019970696	0.9242416019970696	407
ZSCAN2	2	1	0.9241141734170724	0.9241141734170724	408
LINC00351	1	1	0.924078797416834	0.924078797416834	409
AL589182.1	1	1	0.9238617246431866	0.9238617246431866	410
AC099520.2	1	1	0.9238074564497748	0.9238074564497748	411
TBX3	2	1	0.9236506418235267	0.9236506418235267	412
CCN2	1	1	0.9235903836761274	0.9235903836761274	413
AC005699.1	1	1	0.923427579095892	0.923427579095892	414
AC096751.2	1	1	0.92337331090248	0.92337331090248	415
PCDHGA5	2	1	0.9232766986733548	0.9232766986733548	416
BNIP3L	2	1	0.9232751429437261	0.9232751429437261	417
AC023886.1	1	1	0.923047701742009	0.923047701742009	418
DDX58	2	1	0.9230076282991235	0.9230076282991235	419
AF241728.2	1	1	0.9228306289683617	0.9228306289683617	420
LINC01591	1	1	0.922722092581538	0.922722092581538	421
AC012470.1	1	1	0.9226135561947144	0.9226135561947144	422
LINC02234	1	1	0.922396483421067	0.922396483421067	423
AC012063.1	1	1	0.9221794106474196	0.9221794106474196	424
AC068989.1	1	1	0.9221251424540076	0.9221251424540076	425
AC108519.1	1	1	0.922070874260596	0.922070874260596	426
CMTM8	2	1	0.9216119430053837	0.9216119430053837	427
SPRY4-AS1	1	1	0.9212568513594184	0.9212568513594184	428
ST6GALNAC4	2	1	0.9211001174486465	0.9211001174486465	429
KIAA0513	2	1	0.9210696838982304	0.9210696838982304	430
AC105052.4	1	1	0.9208769740055354	0.9208769740055354	431
LINC02814	1	1	0.9207141694252998	0.9207141694252998	432
AL390242.1	1	1	0.9206056330384762	0.9206056330384762	433
AC017002.5	1	1	0.9204428284582408	0.9204428284582408	434
HSPA1A	2	1	0.9203400803360224	0.9203400803360224	435
ZFPM2-AS1	1	1	0.9202257556845932	0.9202257556845932	436
GP1BB	1	1	0.9201172192977696	0.9201172192977696	437
GK	2	1	0.9200055257300235	0.9200055257300235	438
AC021066.1	1	1	0.919628805557063	0.919628805557063	439
AL157834.1	1	1	0.9194660009768276	0.9194660009768276	440
LINC02457	1	1	0.919303196396592	0.919303196396592	441
AL365256.1	1	1	0.9191403918163564	0.9191403918163564	442
AC100861.1	1	1	0.9190318554295328	0.9190318554295328	443
AC105219.2	1	1	0.9189775872361208	0.9189775872361208	444
AC092139.1	1	1	0.918597709882238	0.918597709882238	445
AL136234.1	1	1	0.9180550279481196	0.9180550279481196	446
AL139393.1	1	1	0.917946491561296	0.917946491561296	447
AL034374.1	1	1	0.9178379551744722	0.9178379551744722	448
MT2A	2	1	0.9177627214379096	0.9177627214379096	449
AC126696.2	1	1	0.9176751505942368	0.9176751505942368	450
CRIPT	2	1	0.9173719489188967	0.9173719489188967	451
NPR2	2	1	0.9173707375895934	0.9173707375895934	452
AL133268.4	1	1	0.91718673685353	0.91718673685353	453
AL390038.1	1	1	0.9170239322732946	0.9170239322732946	454
CLMP	2	1	0.9169905671959404	0.9169905671959404	455
LGI2	2	1	0.9168478714210834	0.9168478714210834	456
LINC02130	2	1	0.9168240547867735	0.9168240547867735	457
AL137785.1	1	1	0.9166440549194116	0.9166440549194116	458
AC019117.1	2	1	0.9166223850559021	0.9166223850559021	459
ONECUT1	1	1	0.916589786726	0.916589786726	460
AC010327.5	1	1	0.916535518532588	0.916535518532588	461
AL139023.1	1	1	0.9162641775655288	0.9162641775655288	462
